ReviewerName,Description
Ashhar,Ergonomic
Ajay,Excellent
Shajesh Balan,Loved it!
ajit devkar,Nice product. Wireless mouse. Set in hand perfectly. Not very small and not very large. Compatible with laptops and pc also.
Amazon Customer,Small and compact
ANIKET,Small Portable and Durable
Rohit Raj Gupta,The quality is quite good and easy to hold.Paired with my phone very easily and too quick
Amazon Customer,Worth buying
Amazon Customer,Good product for regular use. Compact and looks good as well.
Mohammed Farhan,Good
Nihal Elangbam,Awesome product!!
Prakash,Good
MAHAMMAD AJARUDDEEN,good
Amazon Customer,Excellent product
Amazon Customer,Its been years.. Still working very well. Consumes very less battery.
Gokul R.,Feels fragile
Pranith sarma chandrapati,Good WL mouse in Budget.Good for official work.
uday,All great . And worth the price
Surjit,The product is worth buying it.
Asif1 Iqbal,"It nice looking small mouse, fits comfortably while operating."
Karan Kashyap,Good for price
Bappa Seet,Nice one
Praveen,Product is good but not suitable for big hand person.
Biswajit Mandal,Nyc.Product. but price is quite high..
Sandeep,Perfect fits in palm
Amazon Customer,Good to use.
Abhay M.,Nice economic efficient with matt look...grip can be improved...overall 4/5
Sripurna Mutalik,Comfortable for daily use.
Vishal,Dint work and did not get the full product as promised.
SriK,I've been using it for an year.
Sobin,Very good mouse
vijay,Worth for money
Amazon Customer,Easy to install. Took 5 Seconds only.Quality is Premium.
MURUGESAN K,Very smooth to operate
Sanjay Shah,I was using this mouse at my work place. It was so good that I bought it for my home too.
kuldeep saxena,for gaming cant say becoz i dont play game but for office purpose this is gud mouse
Mithin Chacko,Nice and Easy
Santosh,Good
vivek abin varughese,"This is really a good quality product for its price. This product can be 100% recommended.super build quality, longer reciever range, and better price"
Maya,gud one.
Dr. Deepankar Sharma,"very useful, nice product"
Amazon Customer,Not working after 4-5months!
Ms.Blue,I have been using it since a month now so far it’s good
ankush sharma,worth the price
Gabrial,"Product looking good, but packing very poor..."
Sekhar,Chinese made.Plastic feel. Okay product.
spangle wings resort,"worst product, scroll function is not working,"
Amazon Customer,I received a faulty product that does not work
Bhanu Prakash,Easy to hold and very comfortable in using it.
Sourabh Sharma,No receiver recived with mouse
pragnesh c.,"Super quality, design and comfortable ."
Rohit,Good easy to use and got good discount
Bharat Mali,With a great mouse and its price is also right
Ashok Kumar,Awesome
V RAGHU,It is really a good product from Logitech.
Amazon Customer,It's good.
Arvind Patel,Good
jardan singh,Good
virendra kumar tiwari,It's good for daily and official use
Lubin,Absolutely smooth and cool mouse.
Vipin G S,Good for office use and normal use.
rishi,"Product is smooth on performance , its USB connector can fit inside mouse itself in a slot next to battery , so unit kept together during travel. Overall very satisfied"
Nitesh,Nice Mouse. Handy using for my laptop
BABAN SINGH.,Nice one to use
Karthick,Highly recommended product.😍
Arbaaz,Worst product
jacob m,Comfortable to use
Prateek Malik,good shape and asthetics
vivid shopper,Very good piece.
Amazon Customer,Could have made it bigger. Handling is not that comfortable
Sudhish,Good
Nitin Birajdar,Very good product
P kumar,Good product for the price.
Shivani,Best wireless mouse.No complaints yet.compact for use.
Shinu Sreedharan,Easy to use.
Ramdas,Very good
Divya,"Easy to use and in smooth way is going on the mouse, perfect"
JPy,"Good product, value for money"
Sampath_Bunny,I liked it
T..verma,Nice product 👍
Krunal Gor,Good
Mustufa,Good product and easily adaptable.
kalpesh patel,Good product
Amazon Customer,Happy with the purchase.Just the middle button (scroll button) is hard to press which can be nuisance if you use to open a new tab by clicking on a link in your browser.
MONIKA,super mouse i like this
Saravana Kumar,Bad  product and Scorlling roller is not effective
Kush,Nice one
Asad,Decent looking and ergonomic
Suryadeep Chakraborty,Click is not smooth and works only at the specific area of the both buttons.
nil,Easy to hold
Jeetendra પારેખ,Good product
Nishit Bhatti,Good Product
Abhijitganguly,must have...
Avdhoot,Good product
Gurjeet Singh,Not fit properly in palm. Hand started paining after using for an hour.
NITIN SRIVATS N,Small and compact. Fits in the hand perfectly. Not suitable for people with large hands.
ajinkyaganjiwale,NICE PRODUCT MADE BY SWISS TECHNOLOGY.....
Aakash Kishan,"After 1 year and 6 months, it stopped working but had a smooth period using it"
Vinay Simha,Good one like it. There's nothing to dislike about it.
rutik,My product has battery drain problem can you please replace it
Amazon Customer,The best for gaming the clicking is sooo easy and the scroll thingy is also smooth
Amazon Customer,Decent range and good built quality
Krishan rai,A good buy at this price.
Mohammad Yasir K P,Really good mouse.
Suman dey,sometimes failed to work properly during use. Curser creates problem
Kirthiga,Good one for easy use
Pranith,Good product
Ashish Bose,GOOD
prkreddy,nice product.
Nisha,Not for those people whose hands are bigger
Karis,Good
Sayed Arif Sayedi,Good
Amazon Customer,"good one, go for it..!"
Taher Alotwala,No Doubt in Logitech Company.Sirf Naam hi Kaafi Hai.Five Stars.Got at very best price.
SS,Good for normal use
kumar samir,thik thak heai
Sanjeeban Kumar Mahanta,Good product
Ivor D.,Handling is easy and low budget mouse.Good product.
Chhokar,Easy to hold and very good device
A.Padmaa,"Easy to hold, best for gaming and best for tech support"
Ajay Kumar Pati,Firm holding and comfortable to use. Quickly connects to the system.
prasanna,"Good product, easy to use and reliable"
Vapa,ok works satisfactory
Amazon Customer,Most compact and sensitive!
sunil kumar s,Queit handy
Ankit G.,"Must buy, amazing product I'm really happy to buy this product"
Suvobrara Nayak,Nice product by Logitech
Aditya Avadhani,long term and easy to hold/handle
Baskar M,Worth for money
Amazon Customer,Good quality.
Arumugam,working fine
krishnamachari,Easy to hold
siddhesh,Easy to use with plug n Play feature and ergonomic design
Amazon Customer,handy easy to use so far working perfectly
Samanyu,Very Good Product
Narayana,Excellent product
Kumud Malhotra,Worked fine for 2 months and then started giving problems. Now its totally dead. Not good quality product buy if you want to use it for 3 months only
SK,nice one.... compact and perfect
Sivakrishna Nalabolu,Good for money
Manju Arole,Product is as required. Thanks.
Shihabudheen,Totaly satisfied..good one.
jagadesh,Comfortable to use
C B PATIL,Happy to use this. Good Quality Product.
Divya,Nice Product and easy to hold
kaushal soni,Easy to use..compact...
Shan,Good
Dr.Jyotindra Chhaya,Delivered before time. Perfect product.
jay,loved it
Sameer Singh,Average battery life but easy to hold and durability is gud
Khem Raj,Great
Saurabh Gupta,A good generic mouse not for heavy duty works as sometime the movement of mouse in screen is not precise. Else good.
Kindle Customer,Its been almost 6 months and it still works like a charm.
saikumar,Easy to hold...good design
Mira sengupta,This one is really cool mouse. This is definitely worth buying. Go for it. Range is a little less but manageable.
Ankan Dutta,Nice mouse and easy to carry
Shine Shopper,Perfect and smoothly working
Amazon Customer,"This mouse performs smoothly,if u want to use mouse for browsing and doing normal stuffs iu r PC buy this mouse,if want to use this mouse to play games all the time then u will find bit difficult to play."
Captain Kumar Babbar,Excellent light and fit to hand.
Chetan Chaudhari,Good Product But Made in China🚫
Amazon Customer,Thanks
Kalpesh Shelar,Very easy to handle and very comfortable
Nandimedala Reddy sreenivasulu,Working comfortable easily accessibility
SANJEEV KUMAR,VERY NICE PRODUCT. BUT MOUSE SERIAL NO NOT MATCHING WITH SERIAL NO ON BOX.
sagar shinde,Good for work from home.
K.K BAJPEYEE,Stopped working in 7 months.
Amazon Customer,Convenient.Does what it says it does.
saisarvesh,Awesome product..it is cute and works pretty smoothly.
Sunit Dutta,"Excellent product, minimalistic design"
Mohammad Zulfakar,Excellent product but not for gaming purpose
Nikhil,not working properly
Ninad Golatkar,Great for regular use
Athul t.,Working good.easy to move and hold
Vishesh,"Value for money , superb"
Abhishek Mishra,Good as expected
Ashish Barthwal,Strong Sturdy fast mouse
Cheleski M.,Great product
Rajendra Singh,Very poor quality as mouse stopped working within 10 months of usage and not sure how warranty can be claimed.
chakri,Excellent product liked it a lot
Amazon Customer,Worth it.
Gokulan K.,The product is very handy and worth its price
Deepak Sharma,Good one
Pranit Arjun Mandlik,good
Priyanka,Nice
Abhi,The product is nice and it makes my work with laptop very easy and hassle free.As far battery backup is concerned I need to check it.Overall a nice product.
Ranjeetha M,small
Amazon Customer,Easy to hold and easy to carry.
Sanket Jaiswal,Working perfectly... GOOD build quality
Aggrieved customer,The red light indicator was not working
Kshitij Vijay,Scroller stopped working after 2months.
Chandan Singh,Good.
Kundan,Good product
Vishal Yadav,Mouse is Ok No issues as per price
Amazon Customer,Not as per my expectations y
Gangadhar,Easy to handle but quality is not good.
mayur,Super
Zelia vaz,#good#fast winless connectivity
Ishan Qureshi,"Good mouse, but started giving scrolling issues within first 6 months. I’m now trying to get it replaced under warranty."
Pritam,Nice products
Sukanta D.,As of now good.
Mr. D Mitra,Good product
MK singh,Good one ... Totally satisfied
subhalaxmi mishra,It was old one
Amazon Customer,"Great product and very handy ,"
Deval Modi,Good product. Was cheaper 2 years ago.
Amazon Customer,Excellent Quality ♥
Rohit,Good for personal use.
Ash Win,"very handy, smooth and good quality.........."
Pranabpushkaran,Good product
Hemanth,Pretty decent product . Good for normal use . For gaming the psi lags . Easy and small to hold
Arnav. Singh,Easy to install and good quality products.
Gatik,How damaged in 1 month
Kg,Good product.
Rahul T.,Easy to hold &smooth movements
Ayrus,Working good but the problem is it is loosing connectivity with the USB dongle part some times. So we have to replug in
Nischal,Got an Unsealed Product. But got all the components intact. Yet to check till how long will the product last
Sahil kaushik,looks great.. work great.. overall a good product 🔥
Rajesh,Good product..
Amazon Customer,Smooth product
Ravindra,Best mouse for office purpose
Amazon Customer,nice
Sarang G.,The mouse is not working  please advice how to get this replaced  please provide contact details and address for Logitech  in Pune ..... URGENT
JITENDRA KUMAR,Good Product
SANDEEP KUMAR,Amazing product by amazon
Debika,Good product
Aniketh Kamath,Very handy and useful
Bhupesh Kumar Choudhary,Good one
******,nice
Mayursinh Jadeja,Good product...using from last 1 year...
satyajeetnayak,Good product 👍 and working also good
Mohammed Nisar,Perfect and easy to use as advertised
Shakil Shaikh,Nice to handle and comfortable to use
Amazon Customer,Good as I got it in 500 under offer
Gopal,Easy to use and Convenient
Tarun Kumar,Sensor is not effective. Does not work on all surfaces .
Amazon Customer,Good product
Ambuj Mukheeja,Got 5 of these in total for me and my friends.
Rahul nayak,Good
ashwani kashyap,It's make my life easier.thanks to Logitech
JAYMEEN,Good
Mohan Sarambalkar,Nice Product
Amazon Customer,You get whatever is there in the features.
Dasari,"its very handy,beautiful. durability super."
MD,Indicator light not working
Amazon Customer,It is very easy and convenient to use.
Amazon Customer,this mouse in not working .well i thing this product is fake  not original  dont by it pls
Anand Sahu,5*
Amazon Customer,"Handy , elegant and quick !"
Amazon Customer,Had initial install issues. But now working very well for almost a year.
Akshaya,It's a great product! Definitely worth it.
Deva P.,Good product.... Recommended...
sachinamazon,Logitech mouse are the worst.. i always bought and it always got some problems..
Prashant Vishwasrao,Value for money. Works fine.
Prajwal,"Its quiet small , but works amazingly good."
AZHAR AHAMMAD,I got a used product. I can see full scratches on it. I have requested for replacement
Kindle Customer,Good product
Amazon Customer,Really good
Deepan Mathkar,Good product
Abhilash k,Nice product
Amazon Customer,Average one!
anand Kumar,Poor product
Deepak,Good product
Abhi ram varma,Easy to hold
deepak,Good
Arun Sharma,good one
D. K. Mohapatra,Good
shivanand teli,Nice product
varun,This product is worth buying
Lakshmi Sakuntala Sanka,mouse is not working after a month.
AJINKYA KAUNDADE,It has stopped working on 7 th day.
Ashish Ranjan,cruser is not working after 7 month
Gaurav Kondvilkar,Nice battery life
Juhie,Works perfectly for now. Lets see how long it lasts
Omkar,Working fine since 3 months.
Abilash,damaged in year jan 2020
Aditya Gautam,I liked it and it's working perfectly for more than month.Only con is that it feels small in hand.
True reviewer,Not that great to reach to reach expectations
S Krishna,Very nice product. Completely satisfied
Amazon Customer,Easy to use
Shatrughan kumar,Good quqlity with reasonable Price
Aabir Lahiry,Mouse is very smooth and worth the proce
Ansh Juneja,Working very well. :)
Suresh Kumar,Received product with out USB Chip
Sushn,Good quality mouse at reasonable price.
Mihir Badiani,This is a brilliant product which offers great convenience at a reasonable price. Thoroughly recommended.
swarupa,Good obe
vemula.nageswarrao,Good product
m,Good..as expected.
Amazon Customer,Best in this price range
Nishant B.,USB dongle not working now want to return
Daryl Vaz,"Absolutely worth the money. The built quality, texture and looks are very professional. Highly recommended..!!!"
Abishek,Waste product light is not working
Prabhu,Good one
Bharath,It easily fit into hand
Yash Hemnani,Value for money
Ganesh Kamath,Good One
CA S K SHAHI,good one
Ankan,Nice product to use with smart tv box.
viplav rathi,Do not use for gaming just for daily use.
Eshant Barapatre,Vry good for office use purposes
Amish,Okay
Smitesh Rasam,Simple and sweet
LAKXI P.,Very nice.
Nitish,Nice product.
Dr. Sheeba Wanee,Very good product
Tirth Goti,Best mouse for normal usage.....
Hemant Bhoi,Don't buy dead after 3 months
Shaik Mahboob,Good product in this price range
pankaj pal,Lovely design and great product
ankit labh,It is nice but after some day my scroll button start giving problem. I ignored for one month and now automatically it is working fine.
Amazon Customer,Good design for every purpose with a good battery stand by.
amol,After one year of use not a single con.Working smoothly.Go for it
Siddhant Singh,"Okay for the price, but not great to hold. If budget allows go for hp. However the mouse works just fine"
Hatim Bhagat,Easy to use and durable
Robinson,should be little big
Nayeem A.,A value for money mouse
manohar,nice product
Yash Mittal,Can be used gaming overall bulid quality was also great
Jigar,Excellent
Amazon Customer,Great device
Amazon Customer,All good
Rajesh l.,Best products
Anirban Das,Best wireless mouse under 500 rs.
Abdul Rasheed,Excellent
Amazon Customer,Excellent
K.N.Semwal,Good one.
Ganesh Nallamothu,Well but cost is not affordable
Me D.,"Good looking , easy to hold for business & gaming."
Amazon Customer,Got it for 499. Invisible optic and very responsive. Logitech is simply awesome.
Sarang,Little small but okay for normal use
latha,Very good product. Compatible with laptops and smart tv also.
Amazon Customer,Good product
Manish rana,"I am very dislike with this product,not working in 6 months."
Amazon Customer,Little big for standard hand size but no compromise on quality
Karan,Works amazingly. U get a free battery with it. Connects n starts working instantly. Logitech also has a good reputation so one should buy it.
Amruta YG,The scroller is too noisy but otherwise works fine
MASUD MOLLAH,Good
Prabhu,Fine not bad
Govind Sabarwal,Good
Amazon Customer,Compact and easy to use
amina arif,The scrolling wheel is not working after 9 months
Amazon Customer,Smoothly running
Sudipto,Good
Amazon Customer,A very good buy in the price range
rutul desai,"very convenient, light weight, smooth"
Mahesh Tamse,The scroll wheel stopped working within 3weeks that too with minimal usage
Ashish Mogrey,ordinary quality mouse - too small for large hands.
Amazon Customer,Good Product.
anukuttan jose,Nice one
Amazon Customer,It's really good
Dinesh,Worth for money
Sunil Sagar,"wow, such a good product in low price. love it"
Amazon Customer,Very good mouse for the price.
Madhavi Gupta,"Excellent  quality,  sturdy."
bhargav mane,Works as it says.
Pranjal Maheshwari,"Delivery on time. The product working as expected, it works great, the build qualit is good, comfortable to use and the fact that they include the battries with the mouse is just amazing."
Navish,Stopped working
Deepak,Good enough for the price.
srinivasan bakthavathsalam,very useful for laptop
Shreshth,Functional. Good quality. Buy it!
SaKum,Can trust and buy this product
Sivanand Pattabhi,Mouse not working with in a month.I don't have an option to replace or get refunded...
Rushabh Doshi,no problem
Chirag Joshi,"Light weight,easy and comfortable in use.Wonderful product."
Vivek Kumar,"Less battery consumption, easy to handle, best greep."
Anshuman Patra,You will fall in luv when u will hold it in ur hand . Cute n handy with high performance. Believe me go for it
Vijayan.M.,Working good. Ok
Vivek B.,Ok for daily use.
Param,"Best product got it under 500 Rs, running good"
R Q Iqbal,"easy to use , good looking product."
VKK,"Everything is fine except one thing, while scrolling the scroll button produces annoying sounds"
Bhrigu,Working very well
puru Rawat,I got new one and connect our laptop it is doesn't work.
Prem,Very good and satisfied
Malcolm fernandes,Its a good wireless mouse. Till Date no issuses. Almost 3 months became. If u like it just go for it.
Prabhjot Kaur,logitech mouse are good
sai nithin,Quite suitable for work
Raji,The previous mouse which I was using was damaged hence I bought this.  Too early to review.
BUDDHADEV,Very good
benarji g.,Good working...
SRINIVASA RENGAN K,"Worth buying, just go for it."
Amazon Customer,I got it for Rs.299
Chandrahas,Good product .. very handy
Ajay,"Good battery life, its handy"
Sugumar,Nice product
Harsh Keshri,"It's small , easy to hold and build with good quality material"
Sumit kr,Easy to used
Amazon Customer,nice
Amazon Customer,"Its good for normal use. Connectivity is good, smooth and looks classy.Except its size, a bit small otherwise its perfect."
Rahul Shrivastava,Nice one. Small and very comfortable. Fits perfectly with the hand
navin,Gud one
Santhanu,Stopped working after 2 months.
Denver L,Works as expected. Feels good in hand and on a variety of surfaces. Connects quick too!
Chinthala Venkatesh,scroll button is not working properly
mehul kava,Good for ofiice use
Ayush rawat,Easy to hold and good for 500
Soni Nirav,Nice and awesome product .Value for money product.
Shubham Shaligram Patil,"Very handy, Light weight, Smooth... Worth buying"
safwan,Amazon's packaging was fine but the product's packaging was somewhat hampered.Overall an average product.
Arun,very good
Joby John,A very good product at a reasonable price.
Ashokan,Good product and delivery service
Pranab,Very good for the price. Go for it.
Amazon Customer,Good product in a good range.
Prasad Dangale,Comfortable Smooth and Fast
vamshi,Very much needed for any person who works on laptops.
Rauf,"Worked flawlessly. Good looking, nice to handle and everything else is just good. Doesn't work over glass though."
Rupam Raj,Excellent Product. Works smoothly. Very very happy with th eproduct. Buy it .
Arun Vignesh,Mouse looks good but the packaging and delivery was bad.
Jyotiskar H.,Great to use
Amazon Customer,Good one
Rakesh Chokan,Awesome
Ajesh Rajan,Too small. Performance is Okay
NARASIMHA REDDY,Good to buy comfortable to use
Kathirvel,Best product. Must buy
Ramraj,"Not sleek, looks bulky"
Subhadip Maity,Really it's very very good.
Amazon Customer,Easy and handy
Ashish Tikaye,Perfect for me
Chao Bhartiya,Mouse faulty. Not working. Want to return
Pronobesh Baruah,There is no usb connecter to connect wireless mouse what a worst seller
Dhruv Bhatia,All is good in this mouse.
Neeraj Singh,Good fit and build material.
Nithin,Clicking sound is little loud
Yashovardhan,Good and handy mouse
Rajat N.,It's worth buying! Probably best budget mouse. Build quality is as expected. Has a nice ergonomic design.
Amazon Customer,Not perfect state angel while use.
ajay,Got a defective product
MD IMRAN ANSARI,Awesome
Sarita,Good
Virendra S.,clicking sound moreM100 is better
Ashwin Remesh,A good quality productNice performance
Amazon Customer,Very good product
DareDevil_Kata,Working great!!
Amazon Customer,Amazing product. Worth the price. Smooth and handy. Gets the job done.
Santosh Telwane,Good Quality
Anthony Joseph,Good
Som,battery is off within a month
Yedlla sandeep,Good to handle lighter weight
Juny,Nice product .... Recommended
Amit Mishra,"Nice product, Smooth Handling"
Amazon Customer,Meets my expectations
shubham kushwaha,Cheap and durable mouse. This was my second one and still works great
Shivam Mittal,It got discharge in less than one month
Dinobandhu Pal,Within 4 months it stopped working and it is a worst product of Logitech I have ever seen in my life.
H S Arora,loved the overall design. :)
Anoop Rajput,Small in size
Amazon Customer,Within a month it stopped working 😡
Gopinath,Excellent
SURESH,A good product. Satisfied.
Amazon Customer,All are ok
Amazon Customer,"Using from past 5 months, Working very fine.Good invisible optical sensor.Good deal."
Jeykishan,Good
Riddhi Sehgal,Good one
pallabi mitra,It's very easy to hold. Works fine
Subhasis Das,Happy
Amarjeet swain,Full ok
Mayank,This product is is too good to use. its grip is good . its size is normal.
Amazon Customer,good one
Fereppa Luwang,Great
ravi kumaran,Worth
Amazon user,Easy to use
Utsab,"Great mouse, durable, best for laptop. Complete value for money!And Amazon delivery outstanding."
Sasi Ram kanna,Good to hold in hand ... Better ergonomics
Amazon Customer,Roller-click is not working.
Naman chaudhary,Stopped working after 1 week
Ansh,Clicks are easy and smooth .
Yashswini Mishra,Works well with iMac
Ashok Boga,Good product
Amazon Customer,Good product
Srinath Ragunath,Good product
Amazon Customer,Good Product
Amazon Customer,Good product.
Sidharth Singh,Great fit.
Uday Sharma,Great product and durable. Product as promised and shown in the website.
Amazon Customer,Gud product and performance no issue i'm using from last 2 months continuesly...
Ritvik Jain,Good
Sainath Kari,Good
neeraj nautiyal,Best price and productivity
Lalita,I m happy to use it
Harshit Jain,Perfect mouse. Soft smooth and sleek. Easy to carry. Works like a charm. Recommended to everyone.
Kindle Customer,I like it
ranjithkumar r,Good
SAMS,"Good one, easy to use"
SENTHAMARAIKANNAN,Light is not working from the day of purchase
SURAJ kumar,Nyc
Pradeep kumar jha,Great!
Kalyan,Awesome Product
Shaunak V.,"Handy, small, doesn't slip much"
Nanak Prasad,Good product at a good price
Amazon Customer,Good product.easy to handle
Munish Awasthi,Worthy
Adarsh Sharma,This mouse is wonderful m using it since 1 month didnt get any problem. Fit perfectly in palm. And value for price. Thumbs up.
Akash raj,Good product.Works perfect
saikirans,Awesome Mouse looks are very good
shreekrushna bharamgonde,Product is very nice with reasonable rate. Immediately connect with pc
Ravi,Decent
Manirathnam,"Awesome portability, easy to carry anywhere else. Elegant look."
Rizwan,Easy to connect . Easy to use .works like a charm !
Inder Tandon,Very effective and user friendly
Ajay,Easy to use.Durable.
Arvind Kulkarni,Very good product. Not a single issue since I purchased.
Sumit kumar,DELIVERY ALSO GOOD
Mindful Shopper,works great! only complaint is its a bit too light.
Akarsh,Good Product
Shams Iftikar Mondal,"Simple, well made.... That's all I wanted. Tested the range and it's about 37-40 ft."
Anju,Awesome
Sunny,Very good budget mouse
Ranjith,Value for the money
jagadeeshreddy,the overall performance of the mouse is satisfactory. but the size of the mouse is smaller than expected.
Amazon Customer,It is not working
Amazon Customer,Good for Services
Jyoti,Very best product
Ayush,Overall good experience
Pradeep,Verg Good
Pranay siddam,Excellent
Brij,Heavy weight. Not easy to use
Salman,"Cheap and best!Portable, fits very well in the hand. You can never misplace your USB Bluetooth dongle."
aravind,Good product
Sandeep P.,excellent product
Vikash Kuma,"Using this mouse since 2 week, it makes irritating sound."
Sudhanshu sharma,Good quality product with an amazing battery life.
Amazon Customer,Good one.
R. K. Magdum,Ease to use is excellent. Very light weight.
Amardeep,Like
Srini k,Good quality and easy to hold and operate.
akhil raj,Fantastic product.
M.P. S.,Excellent
Aishwary Gaonkar,Awesome Mouse....Its very swift & smooth. No issues as per the working condition. It came in quite intact condition. Nice product to buy
anurag,A big zero
Srinivasa Rao Kimidi,Good one
nags,Working fantastic go for it
Amazon Customer,its not working. i couldn't use it since i got it. last night i used it for the first time.
Amazon Customer,Light weight
anand,Best performance
Bineet Kumar,Good enough not great.
Utkarsh Pratap Singh,The product is good. Highly recommended.
Yatharth,Price  is little higher. But quality is good
shaswata C.,"Very good but at low price, up for heavy usage, good product."
Narasimhaprasad,Nyc product
Hemant Joya,Best mouse for this price
Arra Girija,Not functioning properly
Fusion_Defusion,Buy me blindly
Amazon Customer,Value for money
Amazon Customer,Amazing product
EMITECH MICRO COMPONENTS,Worth the price
Gurpreet Singh,Excellent mouse.
chandreshgeria,Worth to buy value for money
Manosh,Mouse works fine ! Except for a squeaky sound from mouse wheel ! And the best part is it works with both Windows OS an Android Os- on Otg support !!
Ramkumar Srinivasan,"Nice sleek design, fits the palm perfectly.  Perfectly works with my Lenovo laptop."
Hp rama,Nice
aatif,very good mouse
Ganesh Pawar,Good product
Vasundhara.k,It comfortable for designing on PC's than the touchpad.
Mr. Harsh Patel,scroll wheel is not effective after a few months of usage. it's too slippery as it does not have any ridges
Amazon Customer,Really niceGood performanceLooking so good
Chethan,Good product.
Rohith vaddi,Good
Akshay Jain,"The mouse is good, works fine, but very comfortable to hold other mouse (Login echo) I use is more comfortable to hold"
Amazon Customer,"Super, more than 2 years still working good"
Harish,Handy design and worth the money
Shubhambodh Shah,Good product
Amazon Customer,Nice
honey,Good
Vatsal Modi,Amazing built quality and design which perfectly fits in your palm.
TUSHAR CHANDAK,It's really ergonomic.
Lekha,It is not working only
Binny,Very good product.
Ankit khare,Easy to hold
Avadhesh Mishra,nice product
Banwari lal,"nice, no issue"
The Detailing Guy,Horrible packing. Seems like it’s repacked. The mouse switch was on and the battery is dead. Strongly recommend not to buy!
Dhruv,Good product
Nonganjao khadangba,Easy to use
Satish Darji,Good mouse easy to use
vijendra,Worth the price
Vikas Kumar,Very Good Product at this price
Mukhtar B.,Excellent product. Value for money.
lucky,I Think that it is used product.
Soumyo Baugh,Good
Raza,Good Product
Purushotham,Good product
Harshad S,good product
Prof .Akash,Works good
Hari,Good
Abhinav R,Very handy and convenient.
Abbas-,I got Used product.. when i had open for first time there were some scratches..
Akanksha,scroll wheel doesn't work at all. You have to keyboard to scroll the page down.
Ishita Bharadwaj,awesome product
Amazon Customer,"Comfortably sits in hand , ergonomic"
Subhasish D.,Recommended
Kapil Sharma,Nice working
ashwini,Good aesthetic look..
Mrigakshi Chetia,Can recomend.
Savvy,Great Product.Works on almost any surface.Sleek designHandy Gripworks smooth
anji,Good
Amazon Customer,Working as expected
Irshad,Compact
Amazon Customer,The receiver stopped working after 2 months.
rishi,Its very good product
Mr. V,good item
akash lohakare,It's So Good. Easy to use. Best quality best Prise..
Monty,Not that great
Rajesh Mohan,"Good Mouse, liked it."
Anto T Eluvathingal,It is good for daily use and easy to handle..
Nashwan Awadh,Nice
Amazon Customer,Comfortable grip... sensitivity and precision are good although mouse is a little small. Definitely not for gaming but worth buying for regular use.
Jitesh Sawhney,Great Product! Very Lightweight.
Dhruvin Panchal,"It's excellent product by Logitech. Small, good looking with great features."
Step by step,Horrible..I opened the package to see dead batteries and no usb wireless link hardware to go with it. want to return it
Sudhanshu Mallick,Sucha good mouse to use and battery life is good
md imran alam,Amazing product and works very smoothly
sam,The product was same like they mentioned in the amazon website. The optical mosue is very good.
Vijay Arya,Product was although good as expected. Right size to handle.
Jothi P.,It's  a good mouse for a regular user
Muthukumar,Nice product and delivery on time by amazon. Value for money.
Rohit maurya,Mouse is easy to hold and Woking perfectly
Aayush Grover,Good product
Harshika jaiswal,Good
Partha Pratim Pal,Good for daily usage
dharmesh,not working properly
Rahul Singh,Good Product
Murshid,Good product
meeth mepani,Good product
Amazon Customer,Easy to hold
Amazon Customer,Good product
Anil,Nice product
Vinod kumar,Disappointed
Anish Kumar,Nice product
milan,Nice product
rushikesh tayade,Easy to hold
Alex p davis,Easy to useSatisfied
VEDPRAKASH PANDIT,like
vsn murthy,Good
Niloy,Apt.
zainuddin,Good
Amazon Customer,Good
Naarayen,Good Product.  Sharp edges doingFound which is a drawback.
Archita Roy,Awesome product ...
PRUDHVI RAJ,Good product
balasubramanian,Good product
Deepak Kumar,Easy to use and smooth in control.
Preethi A.,Perfect...Invisible optical light...
Nair Neeraj Rajgopalan,Good
PARAS MUTNEJA,Good product
Tsephunamazon,It is good. Worth the money.
Rakesh maharishi,Super
scarecrow,"Good product, looks durable"
manthan,Very good product from Logitech
Shanmugam S,good
Ankit,Not good for smart tv if mounted
Sourav Gupta,Middle mouse button is hard to press.
Samir Kumar,Good
Amazon Customer,"Nice, easy to hold, fast, n invisible optical"
Prashant Palimkar,Good
Rajeshkumar,Good product
Abhishek Kumar,Faltu
Ashok,Wireless mouse
Minhaz Majgaonkar,Works very smoothly
Sunil,Excellent product. I have been using it from past 3 months and no problem at all. It's nicely build.
Amazon Customer,good one.
Iftequar Baba,Easy to hold
Harini Dhanasekaran,"Good design,  easy to handle ..good for office environment"
Amazon Customer,Very Good product..
Amazon Customer,Easy to hold
Nil,good
Abdul khaleel Rahman,Good
Pramod Kadam,Bad product
Amazon Customer,Looking good and working as expected. Waiting to see how long will it work.
Om Prakash Gupta,Not compatible with my television So I returned this.
Mohith,Not working for games in PC
santosh,Easy to hold
Amit Kuiya,Nice product and work as expected
gurmeet singh,Good product
Sakshi,Serial number on the package and that on the mouse are different.
Prashantha Talanjeri,"very good, no visible light"
BASANT G.,GOOD PRODUCT
Amazon Customer,Overall good and easy to hold and the finish
MAKHON BAROOAH,ok
abhishek,It's little small
Shiv,good mouse for basic usage
indra borgohain,Smooth and handy
Yasharth S.,Easy to use
Suhas B Srihari,Nice form factor
Soham Sharma,Best value for money
rimil murmu,not good for gaming.
Vineeta bhatia,It seems to be a used mouse. Please call up.
Suraj,"After 20 days, Mouse scroll has stopped functioning.Never expected this from Logitech brand. Really feeling so disappointed. :("
